maTTHC;tenTTHC;DoiTuong;LinhVuc;;;;;;
1.012256.H17;Công bố cơ sở khám bệnh, chữa bệnh đáp ứng yêu cầu là cơ sở hướng dẫn thực hành;"Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức nước ngoài; Hợp tác xã";Khám bệnh, chữa bệnh (Bộ Y tế);;;;;;
1.012273.H17;Gia hạn giấy phép hành nghề đối với chức danh chuyên môn là lương y, người có bài thuốc gia truyền hoặc có phương pháp chữa bệnh gia truyền;"Công dân Việt Nam; Người Việt Nam định cư ở nước ngoài; Người nước ngoài";Khám bệnh, chữa bệnh (Bộ Y tế);;;;;;
1.012275.H17;Đăng ký hành nghề;"Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức nước ngoài";Khám bệnh, chữa bệnh (Bộ Y tế);;;;;;
1.012276.H17;Thu hồi giấy phép hành nghề đối với trường hợp quy định tại điểm i khoản 1 Điều 35 của Luật Khám bệnh, chữa bệnh;"Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức nước ngoài; Hợp tác xã";Khám bệnh, chữa bệnh (Bộ Y tế);;;;;;
1.012281.H17;Công bố đủ điều kiện thực hiện khám sức khỏe, khám và điều trị HIV/AIDS;"Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức nước ngoài; Hợp tác xã";Khám bệnh, chữa bệnh (Bộ Y tế);;;;;;
1.012257.H17;Cho phép tổ chức hoạt động khám bệnh, chữa bệnh nhân đạo theo đợt, khám bệnh, chữa bệnh lưu động thuộc trường hợp quy định tại khoản 1 Điều 79 của Luật Khám bệnh, chữa bệnh hoặc cá nhân khám bệnh, chữa bệnh nhân đạo;"Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài; Hợp tác xã";Khám bệnh, chữa bệnh (Bộ Y tế);;;;;;
1.012258.H17;Cho phép người nước ngoài vào Việt Nam chuyển giao kỹ thuật chuyên môn về khám bệnh, chữa bệnh hoặc hợp tác đào tạo về y khoa có thực hành khám bệnh, chữa bệnh;"Công dân Việt Nam; Người Việt Nam định cư ở nước ngoài; Người nước ngoài";Khám bệnh, chữa bệnh (Bộ Y tế);;;;;;
1.012260.H17;Công bố đủ điều kiện thực hiện khám bệnh, chữa bệnh từ xa;"Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài; Hợp tác xã";Khám bệnh, chữa bệnh (Bộ Y tế);;;;;;
1.012261.H17;Đề nghị thực hiện thí điểm khám bệnh, chữa bệnh từ xa;"Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài; Hợp tác xã";Khám bệnh, chữa bệnh (Bộ Y tế);;;;;;
1.012262.H17;Xếp cấp chuyên môn kỹ thuật;"Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài; Hợp tác xã";Khám bệnh, chữa bệnh (Bộ Y tế);;;;;;
2.002604.H17;Cấp Giấy phép thành lập Văn phòng đại diện của tổ chức xúc tiến thương mại nước ngoài tại Việt Nam.;Tổ chức nước ngoài;Xúc tiến thương mại (Bộ Công Thương);;;;;;
2.002605.H17;Sửa đổi giấy phép thành lập Văn phòng đại diện của tổ chức xúc tiến thương mại nước ngoài tại Việt Nam.;Tổ chức nước ngoài;Xúc tiến thương mại (Bộ Công Thương);;;;;;
2.002606.H17;Cấp lại Giấy phép thành lập Văn phòng đại diện của tổ chức xúc tiến thương mại nước ngoài tại Việt Nam.;Tổ chức nước ngoài;Xúc tiến thương mại (Bộ Công Thương);;;;;;
2.002607.H17;Gia hạn Giấy phép thành lập Văn phòng đại diện của tổ chức xúc tiến thương mại nước ngoài tại Việt Nam.;Tổ chức nước ngoài;Xúc tiến thương mại (Bộ Công Thương);;;;;;
2.002608.H17;Chấm dứt hoạt động và thu hồi Giấy phép thành lập Văn phòng đại diện của tổ chức xúc tiến thương mại nước ngoài tại Việt Nam.;Tổ chức nước ngoài;Xúc tiến thương mại (Bộ Công Thương);;;;;;
2.001219.H17;Chấp thuận hoạt động vui chơi, giải trí dưới nước tại vùng nước trên tuyến đường thủy nội địa, vùng nước cảng biển hoặc khu vực hàng hải;"Công dân Việt Nam; Người Việt Nam định cư ở nước ngoài; Người nước ngoài; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài; Hợp tác xã";Hàng hải và đường thủy nội địa (Bộ Xây dựng);;;;;;
2.002609.H17;Thủ tục xác nhận dự án đầu tư đáp ứng nguyên tắc hoạt động công nghệ cao trong khu công nghệ cao;"Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài";Hoạt động khoa học và công nghệ (Bộ Khoa học và Công nghệ);;;;;;
1.012427.H17;Thành lập/mở rộng cụm công nghiệp;"Doanh nghiệp; Hợp tác xã";Cụm Công nghiệp (Bộ Công Thương);;;;;;
1.000871.H17;Thủ tục xét tặng “Giải thưởng Hồ Chí Minh” về văn học, nghệ thuật;Công dân Việt Nam;Thi đua – Khen thưởng (Bộ Văn hóa, Thể thao và Du lịch);;;;;;
1.000564.H17;Thủ tục xét tặng “Giải thưởng Nhà nước” về văn học, nghệ thuật;Công dân Việt Nam;Thi đua – Khen thưởng (Bộ Văn hóa, Thể thao và Du lịch);;;;;;
1.012471.H17;Xét tặng danh hiệu “Nghệ nhân nhân dân”, “Nghệ nhân ưu tú” trong lĩnh vực nghề thủ công mỹ nghệ tại Hội đồng cấp tỉnh;Công dân Việt Nam;Nghề thủ công mỹ nghệ (Bộ Công Thương);;;;;;
2.000795.H17;Đăng ký vận tải hành khách cố định trên tuyến vận tải thủy từ bờ ra đảo;"Công dân Việt Nam; Tổ chức (không bao gồm doanh nghiệp, HTX)";Hàng hải và đường thủy nội địa (Bộ Xây dựng);;;;;;
2.000769.H17;Cấp lại Chứng chỉ bồi dưỡng kiến thức pháp luật về giao thông đường bộ cho người điều khiển xe máy chuyên dùng tham gia giao thông đường bộ (trường hợp cơ sở bồi dưỡng đã cấp chứng chỉ không còn hoạt động);"Công dân Việt Nam; Người Việt Nam định cư ở nước ngoài; Người nước ngoài; Cán bộ, công chức, viên chức";Đường bộ (Bộ Xây dựng);;;;;;
1.002861.H17;Cấp, cấp lại Giấy phép vận tải đường bộ quốc tế giữa Việt Nam và Lào;"Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Hợp tác xã";Đường bộ (Bộ Xây dựng);;;;;;
1.001623.H17;Cấp lại Giấy phép đào tạo lái xe ô tô khi điều chỉnh hạng xe đào tạo, lưu lượng đào tạo và thay đổi địa điểm đào tạo;"Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài; Hợp tác xã";Đường bộ (Bộ Xây dựng);;;;;;
1.001777.H17;Cấp Giấy phép đào tạo lái xe, cấp Giấy phép xe tập lái;"Công dân Việt Nam; Người nước ngoài; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài; Hợp tác xã";Đường bộ (Bộ Xây dựng);;;;;;
1.012272.H17;Cấp lại giấy phép hành nghề đối với chức danh chuyên môn là lương y, người có bài thuốc gia truyền hoặc có phương pháp chữa bệnh gia truyền;"Công dân Việt Nam; Người Việt Nam định cư ở nước ngoài; Người nước ngoài";Khám bệnh, chữa bệnh (Bộ Y tế);;;;;;
1.012278.H17;Cấp mới giấy phép hoạt động khám bệnh, chữa bệnh;"Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức nước ngoài; Hợp tác xã";Khám bệnh, chữa bệnh (Bộ Y tế);;;;;;
1.012279.H17;Cấp lại giấy phép hoạt động khám bệnh, chữa bệnh;"Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức nước ngoài; Hợp tác xã";Khám bệnh, chữa bệnh (Bộ Y tế);;;;;;
1.012280.H17;Điều chỉnh giấy phép hoạt động khám bệnh, chữa bệnh;"Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức nước ngoài; Hợp tác xã";Khám bệnh, chữa bệnh (Bộ Y tế);;;;;;
1.012271.H17;Cấp mới giấy phép hành nghề đối với chức danh chuyên môn là lương y, người có bài thuốc gia truyền hoặc có phương pháp chữa bệnh gia truyền;"Công dân Việt Nam; Người Việt Nam định cư ở nước ngoài; Người nước ngoài";Khám bệnh, chữa bệnh (Bộ Y tế);;;;;;
1.012289.H17;Cấp mới giấy phép hành nghề trong giai đoạn chuyển tiếp đối với hồ sơ nộp từ ngày 01 tháng 01 năm 2024 đến thời điểm kiểm tra đánh giá năng lực hành nghề đối với các chức danh bác sỹ, y sỹ, điều dưỡng, hộ sinh, kỹ thuật y, dinh dưỡng lâm sàng, cấp cứu viên ngoại viện, tâm lý lâm sàng;"Người Việt Nam định cư ở nước ngoài; Người nước ngoài; Cán bộ, công chức, viên chức";Khám bệnh, chữa bệnh (Bộ Y tế);;;;;;
1.012290.H17;Cấp lại giấy phép hành nghề đối với trường hợp được cấp trước ngày 01 tháng 01 năm 2024 đối với hồ sơ nộp từ ngày 01 tháng 01 năm 2024 đến thời điểm kiểm tra đánh giá năng lực hành nghề đối với các chức danh bác sỹ, y sỹ, điều dưỡng, hộ sinh, kỹ thuật y, dinh dưỡng lâm sàng, cấp cứu viên ngoại viện, tâm lý lâm sàng;"Công dân Việt Nam; Người Việt Nam định cư ở nước ngoài; Người nước ngoài; Cán bộ, công chức, viên chức";Khám bệnh, chữa bệnh (Bộ Y tế);;;;;;
1.012291.H17;Gia hạn giấy phép hành nghề trong giai đoạn chuyển tiếp đối với hồ sơ nộp từ ngày 01 tháng 01 năm 2024 đến thời điểm kiểm tra đánh giá năng lực hành nghề đối với các chức danh bác sỹ, y sỹ, điều dưỡng, hộ sinh, kỹ thuật y, dinh dưỡng lâm sàng, cấp cứu viên ngoại viện, tâm lý lâm sàng;"Công dân Việt Nam; Người Việt Nam định cư ở nước ngoài; Người nước ngoài; Cán bộ, công chức, viên chức";Khám bệnh, chữa bệnh (Bộ Y tế);;;;;;
1.012292.H17;Điều chỉnh giấy phép hành nghề trong giai đoạn chuyển tiếp đối với hồ sơ nộp từ ngày 01 tháng 01 năm 2024 đến thời điểm kiểm tra đánh giá năng lực hành nghề đối với các chức danh bác sỹ, y sỹ, điều dưỡng, hộ sinh, kỹ thuật y, dinh dưỡng lâm sàng, cấp cứu viên ngoại viện, tâm lý lâm sàng;"Công dân Việt Nam; Người Việt Nam định cư ở nước ngoài; Người nước ngoài; Cán bộ, công chức, viên chức";Khám bệnh, chữa bệnh (Bộ Y tế);;;;;;
1.006412.H17;Thủ tục cấp Giấy chứng nhận thành lập và hoạt động của chi nhánh cơ sở văn hóa nước ngoài tại Việt Nam;"Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài";Hợp tác quốc tế (Bộ Văn hóa, Thể thao và Du lịch);;;;;;
1.001082.H17;Thủ tục cấp lại Giấy chứng nhận thành lập và hoạt động của chi nhánh cơ sở văn hóa nước ngoài tại Việt Nam;Tổ chức (không bao gồm doanh nghiệp, HTX);Hợp tác quốc tế (Bộ Văn hóa, Thể thao và Du lịch);;;;;;
1.001091.H17;Thủ tục gia hạn Giấy chứng nhận thành lập và hoạt động của chi nhánh cơ sở văn hóa nước ngoài tại Việt Nam;"Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài";Hợp tác quốc tế (Bộ Văn hóa, Thể thao và Du lịch);;;;;;
1.012353.H17;Thủ tục xác định dự án đầu tư có hoặc không sử dụng công nghệ lạc hậu, tiềm ẩn nguy cơ gây ô nhiễm môi trường, thâm dụng tài nguyên (trừ trường hợp thuộc thẩm quyền giải quyết của Bộ Khoa học và Công nghệ);"Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài";Hoạt động khoa học và công nghệ (Bộ Khoa học và Công nghệ);;;;;;
3.000259.H17;Thủ tục đặt và tặng giải thưởng về khoa học và công nghệ của tổ chức, cá nhân cư trú hoặc hoạt động hợp pháp tại Việt Nam;"Công dân Việt Nam; Người Việt Nam định cư ở nước ngoài; Người nước ngoài; Cán bộ, công chức, viên chức; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Hợp tác xã";Hoạt động khoa học và công nghệ (Bộ Khoa học và Công nghệ);;;;;;
1.008377.H17;Thủ tục xét tiếp nhận vào viên chức và bổ nhiệm vào chức danh nghiên cứu khoa học, chức danh công nghệ đối với cá nhân có thành tích vượt trội trong hoạt động khoa học và công nghệ (Cấp Tỉnh);"Công dân Việt Nam; Cán bộ, công chức, viên chức";Hoạt động khoa học và công nghệ (Bộ Khoa học và Công nghệ);;;;;;
1.011816.H17;(Cấp tỉnh) Thủ tục hỗ trợ kinh phí hoặc mua công nghệ được tổ chức, cá nhân trong nước tạo ra từ kết quả nghiên cứu khoa học và phát triển công nghệ để sản xuất sản phẩm quốc gia, trọng điểm, chủ lực;"Công dân Việt Nam; Cán bộ, công chức, viên chức; Doanh nghiệp; Tổ chức (không bao gồm doanh nghiệp, HTX); Hợp tác xã";Hoạt động khoa học và công nghệ (Bộ Khoa học và Công nghệ);;;;;;
2.001269.H17;Thủ tục đăng ký tham dự sơ tuyển xét tặng giải thưởng chất lượng quốc gia;"Cán bộ, công chức, viên chức; Doanh nghiệp";Tiêu chuẩn đo lường chất lượng (Bộ Khoa học và Công nghệ);;;;;;
1.012415.H17;Cấp giấy chứng nhận lương y theo quy định cho các đối tượng quy định tại khoản 1, 2 và khoản 3 Điều 1 Thông tư số 02/2024/TT-BYT;"Công dân Việt Nam; Người Việt Nam định cư ở nước ngoài; Người nước ngoài";Y Dược cổ truyền (Bộ Y tế);;;;;;
1.012416.H17;Cấp giấy chứng nhận lương y theo quy định cho các đối tượng quy định tại khoản 4, 5 và khoản 6 Điều 1 Thông tư số 02/2024/TT-BYT;"Công dân Việt Nam; Người Việt Nam định cư ở nước ngoài; Người nước ngoài";Y Dược cổ truyền (Bộ Y tế);;;;;;
1.012418.H17;Cấp giấy chứng nhận người có bài thuốc gia truyền, giấy chứng nhận người có phương pháp chữa bệnh gia truyền;"Công dân Việt Nam; Người Việt Nam định cư ở nước ngoài; Người nước ngoài; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài; Hợp tác xã";Y Dược cổ truyền (Bộ Y tế);;;;;;
1.012417.H17;Cấp lại giấy chứng nhận lương y;"Công dân Việt Nam; Người Việt Nam định cư ở nước ngoài; Người nước ngoài";Y Dược cổ truyền (Bộ Y tế);;;;;;
1.012419.H17;Cấp lại giấy chứng nhận người có bài thuốc gia truyền, giấy chứng nhận người có phương pháp chữa bệnh gia truyền;"Công dân Việt Nam; Người Việt Nam định cư ở nước ngoài; Người nước ngoài; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài";Y Dược cổ truyền (Bộ Y tế);;;;;;
2.002603.H17;Công bố dự án đầu tư kinh doanh đối với dự án không thuộc diện chấp thuận chủ trương đầu tư do nhà đầu tư đề xuất (Cấp tỉnh);"Công dân Việt Nam; Người Việt Nam định cư ở nước ngoài; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài; Hợp tác xã";Đấu thầu lựa chọn nhà đầu tư (Bộ Tài chính);;;;;;
2.001661.H17;Hỗ trợ học văn hóa, học nghề, trợ cấp khó khăn ban đầu cho nạn nhân;Công dân Việt Nam;Phòng, chống tệ nạn xã hội (Bộ Y tế);;;;;;
1.010941.H17;Đăng ký cai nghiện ma túy tự nguyện;Công dân Việt Nam;Phòng, chống tệ nạn xã hội (Bộ Y tế);;;;;;
1.010940.H17;Công bố cơ sở cai nghiện ma túy tự nguyện, cơ sở cai nghiện ma túy công lập đủ điều kiện cung cấp dịch vụ cai nghiện ma túy tự nguyện tại gia đình, cộng đồng;Tổ chức (không bao gồm doanh nghiệp, HTX);Phòng, chống tệ nạn xã hội (Bộ Y tế);;;;;;
1.010939.H17;Công bố lại tổ chức, cá nhân cung cấp dịch vụ cai nghiện ma túy tự nguyện tại gia đình, cộng đồng;"Công dân Việt Nam; Tổ chức (không bao gồm doanh nghiệp, HTX)";Phòng, chống tệ nạn xã hội (Bộ Y tế);;;;;;
1.010938.H17;Công bố tổ chức, cá nhân đủ điều kiện cung cấp dịch vụ cai nghiện ma túy tự nguyện tại gia đình, cộng đồng;"Công dân Việt Nam; Tổ chức (không bao gồm doanh nghiệp, HTX)";Phòng, chống tệ nạn xã hội (Bộ Y tế);;;;;;
1.004944.H17;Chấm dứt việc chăm sóc thay thế cho trẻ em;"Công dân Việt Nam; Tổ chức (không bao gồm doanh nghiệp, HTX)";Trẻ em (Bộ Y tế);;;;;;
1.004946.H17;Áp dụng các biện pháp can thiệp khẩn cấp hoặc tạm thời cách ly trẻ em khỏi môi trường hoặc người gây tổn hại cho trẻ em;Công dân Việt Nam;Trẻ em (Bộ Y tế);;;;;;
2.001942.H17;Chuyển trẻ em đang được chăm sóc thay thế tại cơ sở trợ giúp xã hội đến cá nhân, gia đình nhận chăm sóc thay thế;"Công dân Việt Nam; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX)";Trẻ em (Bộ Y tế);;;;;;
2.001944.H17;Thông báo nhận chăm sóc thay thế cho trẻ em đối với cá nhân, người đại diện gia đình nhận chăm sóc thay thế là người thân thích của trẻ em;Công dân Việt Nam;Trẻ em (Bộ Y tế);;;;;;
1.004941.H17;Đăng ký nhận chăm sóc thay thế cho trẻ em đối với cá nhân, người đại diện gia đình nhận chăm sóc thay thế không phải là người thân thích của trẻ em;Công dân Việt Nam;Trẻ em (Bộ Y tế);;;;;;
2.001947.H17;Phê duyệt kế hoạch hỗ trợ, can thiệp đối với trẻ em bị xâm hại hoặc có nguy cơ bị bạo lực, bóc lột, bỏ rơi và trẻ em có hoàn cảnh đặc biệt;"Công dân Việt Nam; Tổ chức (không bao gồm doanh nghiệp, HTX)";Trẻ em (Bộ Y tế);;;;;;
1.001653.H17;Đổi, cấp lại Giấy xác nhận khuyết tật;Công dân Việt Nam;Bảo trợ xã hội (Bộ Y tế);;;;;;
1.000091.H17;Đề nghị chấm dứt hoạt động của cơ sở hỗ trợ nạn nhân;"Công dân Việt Nam; Người Việt Nam định cư ở nước ngoài; Người nước ngoài; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài; Hợp tác xã";Phòng, chống tệ nạn xã hội (Bộ Y tế);;;;;;
2.000027.H17;Cấp lại, sửa đổi, bổ sung Giấy phép thành lập cơ sở hỗ trợ nạn nhân;"Công dân Việt Nam; Người Việt Nam định cư ở nước ngoài; Người nước ngoài; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài; Hợp tác xã";Phòng, chống tệ nạn xã hội (Bộ Y tế);;;;;;
2.000025.H17;Cấp Giấy phép thành lập cơ sở hỗ trợ nạn nhân;"Công dân Việt Nam; Người Việt Nam định cư ở nước ngoài; Người nước ngoài; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài; Hợp tác xã";Phòng, chống tệ nạn xã hội (Bộ Y tế);;;;;;
1.010937.H17;Thu hồi Giấy phép hoạt động cai nghiện ma túy trong trường hợp cơ sở cai nghiện có văn bản đề nghị dừng hoạt động cai nghiện ma túy tự nguyện;Tổ chức (không bao gồm doanh nghiệp, HTX);Phòng, chống tệ nạn xã hội (Bộ Y tế);;;;;;
1.010936.H17;Cấp lại giấy phép hoạt động cai nghiện ma túy tự nguyện;Tổ chức (không bao gồm doanh nghiệp, HTX);Phòng, chống tệ nạn xã hội (Bộ Y tế);;;;;;
1.010935.H17;Cấp giấy phép hoạt động cai nghiện ma túy tự nguyện.;Tổ chức (không bao gồm doanh nghiệp, HTX);Phòng, chống tệ nạn xã hội (Bộ Y tế);;;;;;
1.005219.H17;Hỗ trợ cho người lao động thuộc đối tượng là người bị thu hồi đất nông nghiệp đi làm việc ở nước ngoài theo hợp đồng;"Công dân Việt Nam; Doanh nghiệp";Quản lý lao động ngoài nước (Bộ Nội vụ);;;;;;
2.002105.H17;Hỗ trợ cho người lao động thuộc đối tượng là người dân tộc thiểu số, người thuộc hộ nghèo, hộ cận nghèo, thân nhân người có công với cách mạng đi làm việc ở nước ngoài theo hợp đồng;"Công dân Việt Nam; Doanh nghiệp";Quản lý lao động ngoài nước (Bộ Nội vụ);;;;;;
1.009832.H17;Cấp lại thẻ giám định viên tư pháp cấp tỉnh;Công dân Việt Nam;Giám định tư pháp (Bộ Tư pháp);;;;;;
1.008922.H17;Bổ nhiệm Thừa phát lại;Công dân Việt Nam;Thừa phát lại (Bộ Tư pháp);;;;;;
1.008923.H17;Miễn nhiệm Thừa phát lại (trường hợp được miễn nhiệm);Công dân Việt Nam;Thừa phát lại (Bộ Tư pháp);;;;;;
1.008924.H17;Bổ nhiệm lại Thừa phát lại;Công dân Việt Nam;Thừa phát lại (Bộ Tư pháp);;;;;;
1.012507.H17;Cấp chứng chỉ nghiệp vụ chuyên môn về đấu thầu;Công dân Việt Nam;Đấu thầu (Bộ Tài chính);;;;;;
1.012508.H17;Cấp lại chứng chỉ nghiệp vụ chuyên môn về đấu thầu;Công dân Việt Nam;Đấu thầu (Bộ Tài chính);;;;;;
1.012509.H17;Gia hạn chứng chỉ nghiệp vụ chuyên môn về đấu thầu;Công dân Việt Nam;Đấu thầu (Bộ Tài chính);;;;;;
1.012510.H17;Thu hồi chứng chỉ nghiệp vụ chuyên môn về đấu thầu;Công dân Việt Nam;Đấu thầu (Bộ Tài chính);;;;;;
2.002620.H17;Thông báo về việc thực hiện hoạt động bán hàng không tại địa điểm giao dịch thường xuyên;"Công dân Việt Nam; Tổ chức (không bao gồm doanh nghiệp, HTX)";bảo vệ quyền lợi người tiêu dùng (Bộ Công Thương);;;;;;
1.012500.H17;Tạm dừng hiệu lực giấy phép thăm dò nước dưới đất, giấy phép khai thác tài nguyên nước.;"Công dân Việt Nam; Tổ chức (không bao gồm doanh nghiệp, HTX)";Tài nguyên nước (Bộ Nông nghiệp và Môi trường);;;;;;
1.012501.H17;Trả lại giấy phép hành nghề khoan nước dưới đất;"Công dân Việt Nam; Tổ chức (không bao gồm doanh nghiệp, HTX)";Tài nguyên nước (Bộ Nông nghiệp và Môi trường);;;;;;
1.012502.H17;Đăng ký sử dụng mặt nước, đào hồ, ao, sông, suối, kênh, mương, rạch;"Công dân Việt Nam; Doanh nghiệp; Tổ chức (không bao gồm doanh nghiệp, HTX); Hợp tác xã";Tài nguyên nước (Bộ Nông nghiệp và Môi trường);;;;;;
1.012503.H17;Lấy ý kiến về phương án bổ sung nhân tạo nước dưới đất;"Công dân Việt Nam; Doanh nghiệp";Tài nguyên nước (Bộ Nông nghiệp và Môi trường);;;;;;
1.012504.H17;Lấy ý kiến về kết quả vận hành thử nghiệm bổ sung nhân tạo nước dưới đất;"Công dân Việt Nam; Doanh nghiệp";Tài nguyên nước (Bộ Nông nghiệp và Môi trường);;;;;;
1.012505.H17;Tính tiền cấp quyền khai thác tài nguyên nước đối với công trình cấp cho sinh hoạt đã đi vào vận hành và được cấp giấy phép khai thác tài nguyên nước nhưng chưa được phê duyệt tiền cấp quyền;"Công dân Việt Nam; Tổ chức (không bao gồm doanh nghiệp, HTX)";Tài nguyên nước (Bộ Nông nghiệp và Môi trường);;;;;;
1.012531.H17;Hỗ trợ tín dụng đầu tư trồng rừng gỗ lớn đối với chủ rừng là hộ gia đình, cá nhân;"Công dân Việt Nam; Cán bộ, công chức, viên chức; Tổ chức (không bao gồm doanh nghiệp, HTX); Hợp tác xã";Lâm nghiệp (Bộ Nông nghiệp và Môi trường);;;;;;
1.005181.H17;Khai thác và sử dụng cơ sở dữ liệu tài nguyên, môi trường biển và hải đảo thông qua mạng điện tử (cấp tỉnh);"Công dân Việt Nam; Người Việt Nam định cư ở nước ngoài; Người nước ngoài; Cán bộ, công chức, viên chức; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài; Hợp tác xã";Biển và hải đảo (Bộ Nông nghiệp và Môi trường);;;;;;
1.000705.H17;Khai thác và sử dụng cơ sở dữ liệu tài nguyên, môi trường biển và hải đảo thông qua phiếu yêu cầu hoặc văn bản yêu cầu (cấp tỉnh);"Công dân Việt Nam; Người Việt Nam định cư ở nước ngoài; Người nước ngoài; Cán bộ, công chức, viên chức; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài; Hợp tác xã";Biển và hải đảo (Bộ Nông nghiệp và Môi trường);;;;;;
1.001376.H17;Thủ tục xét tặng danh hiệu “Nghệ sĩ nhân dân” (đối với Hội đồng cấp cơ sở tại địa phương);Công dân Việt Nam;Thi đua – Khen thưởng (Bộ Văn hóa, Thể thao và Du lịch);;;;;;
1.001108.H17;Thủ tục xét tặng danh hiệu “Nghệ sĩ ưu tú” (đối với Hội đồng cấp cơ sở tại địa phương);Công dân Việt Nam;Thi đua – Khen thưởng (Bộ Văn hóa, Thể thao và Du lịch);;;;;;
2.001191.H17;Kiểm tra nhà nước về an toàn thực phẩm đối với thực phẩm nhập khẩu theo phương thức kiểm tra chặt;"Công dân Việt Nam; Người Việt Nam định cư ở nước ngoài; Người nước ngoài; Cán bộ, công chức, viên chức; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài; Hợp tác xã";An toàn thực phẩm (Bộ Y tế);;;;;;
1.012299.H17;Thủ tục thi tuyển Viên Chức (Nghị định số 85/2023/NĐ-CP);Công dân Việt Nam;Công chức, viên chức (Bộ Nội vụ);;;;;;
1.012300.H17;Thủ tục xét tuyển Viên chức (85/2023/NĐ-CP);Công dân Việt Nam;Công chức, viên chức (Bộ Nội vụ);;;;;;
1.012301.H17;Thủ tục tiếp nhận vào viên chức không giữ chức vụ quản lý;"Công dân Việt Nam; Cán bộ, công chức, viên chức";Công chức, viên chức (Bộ Nội vụ);;;;;;
1.012592.H17;THỦ TỤC ĐĂNG KÝ HOẠT ĐỘNG TÍN NGƯỠNG (CẤP XÃ);"Công dân Việt Nam; Tổ chức (không bao gồm doanh nghiệp, HTX)";Tín ngưỡng, tôn giáo (Dân tộc và Tôn giáo);;;;;;
1.012591.H17;THỦ TỤC ĐĂNG KÝ BỔ SUNG HOẠT ĐỘNG TÍN NGƯỠNG (CẤP XÃ);"Công dân Việt Nam; Tổ chức (không bao gồm doanh nghiệp, HTX)";Tín ngưỡng, tôn giáo (Dân tộc và Tôn giáo);;;;;;
